ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075612,Danehill Spirit (IRE),13th July 2021,Michael Mulvany,Gelding,-,-,-
0075624,D'Nurse (IRE),13th July 2021,R Hannon,Filly,-,-,-
0075576,Casual Style,13th July 2021,D Pipe,Filly,-,-,-
0075627,Kentish Dream,13th July 2021,F Chappet,Colt,-,-,-
0075573,Rosbertini,13th July 2021,Miss L A Perratt,Gelding,-,-,-
0075512,Rose Rose (USA),13th July 2021,C Laffon-Parias,Filly,-,-,-
0075562,Red Eric,13th July 2021,W M Brisbourne,Gelding,-,-,-
0075642,Lasos (FR),13th July 2021,Mlle S Sine,Gelding,-,-,-
0075588,Ossie's Star,13th July 2021,Evan Williams,Gelding,-,-,-
0075583,Quanah Parker (IRE),13th July 2021,N B King,Gelding,-,-,-
0075577,First City,13th July 2021,A Al Rayhi,Mare,-,-,-
0075639,Iruz (IRE),13th July 2021,R Lopez,Horse,-,-,-
0075603,Diamondaire (IRE),13th July 2021,K Purcell,Gelding,-,-,-
0075598,Audrelles Dream (IRE),13th July 2021,P O Brady,Mare,-,-,-
0075451,Sweet Possession (USA),13th July 2021,Pat Eddery,Mare,-,-,-
0075641,Pateese (FR),13th July 2021,Miss P Lownds,Gelding,-,-,-
0075515,Yes Mate (FR),13th July 2021,R Chotard,Filly,-,-,-
0075618,Prom,13th July 2021,M Brittain,Filly,-,-,-
0075565,Jubilee Juggins (IRE),13th July 2021,N P Littmoden,Colt,-,-,-
0075569,Future Gem,13th July 2021,D Thompson,Mare,-,-,-
0075525,Galix Du Val (FR),13th July 2021,P Duval,Filly,-,-,-
0075606,Elaine's Twinkle (IRE),13th July 2021,Seamus Larkin,Filly,-,-,-
0075580,Leftontheshelf (IRE),13th July 2021,Mrs M Hobbs,Mare,-,-,-
0075613,The Tooth Fairy,1st January 2016,A P O'Brien,Filly,Galileo,Red Evie,Michael Tabor & Derrick Smith & Mrs John Magnier
0075633,Auction Belle,13th July 2021,R Curtis,Filly,-,-,-
0075584,Bright Enough,13th July 2021,E J O'Neill,Filly,-,-,-
0075621,Top Tribute,13th July 2021,T P Tate,Gelding,-,-,-
0075595,Zarkozy (IRE),13th July 2021,D Broad,Gelding,-,-,-
0075608,Stretch The Truth (IRE),13th July 2021,T J Taaffe,Gelding,-,-,-
0075599,Glencar Lad (IRE),13th July 2021,C Moore,Gelding,-,-,-
0075607,Star Mist (IRE),13th July 2021,Mrs K Stephens,Gelding,-,-,-
0075610,Minella Mistake (IRE),13th July 2021,R Rowe,Mare,-,-,-
0075614,Billy Cadiz,13th July 2021,Miss J A Camacho,Gelding,-,-,-
0075672,Crafty Notion (IRE),13th July 2021,R Roberts,Filly,-,-,-
0075623,Cawdor (IRE),13th July 2021,Mrs L Stubbs,Gelding,-,-,-
0075622,Bounty Reef,13th July 2021,P D Evans,Filly,-,-,-
0075636,Afariyas (FR),13th July 2021,Y Fertillet,Mare,-,-,-
0075669,Latin Love (IRE),13th July 2021,D Wachman,Filly,-,-,-
0075687,Peace Keeper (FR),13th July 2021,U Suter,Gelding,-,-,-
0075638,Raspoutine (USA),13th July 2021,E Lellouche,Colt,-,-,-
0075625,Green Onions,13th July 2021,A J Lidderdale,Gelding,-,-,-
0075637,A True Dream (FR),13th July 2021,F Foucher,Gelding,-,-,-
0075629,Ponting (IRE),13th July 2021,P T Midgley,Gelding,-,-,-
0075481,Moonlight Lady (IRE),13th July 2021,T Hogan,Mare,-,-,-
0075684,Yamane (FR),13th July 2021,A Lyon,Filly,-,-,-
0075671,Blonville Lady (IRE),13th July 2021,A Maguire,Filly,-,-,-
0075640,Trendy Queen (IRE),13th July 2021,Rod Collet,Filly,-,-,-
0075686,Money Money Honey (USA),13th July 2021,Mlle V Boussin,Gelding,-,-,-
0075644,Swang Song (USA),13th July 2021,Mlle S Sine,Gelding,-,-,-
0075643,Benazet (FR),13th July 2021,J Rossi,Mare,-,-,-
0075574,Dean Iarracht (IRE),13th July 2021,Miss Tracy Waggott,Gelding,-,-,-
0075666,Baliyana (IRE),13th July 2021,J M Oxx,Filly,-,-,-
0075668,Dalwada (IRE),13th July 2021,M Halford,Filly,-,-,-
0075511,Louve Orientale,13th July 2021,Trapenard,Filly,-,-,-
0075681,Bay Of Bliss (IRE),13th July 2021,T Cooper,Gelding,-,-,-
0075667,Blue Belle Polka (IRE),13th July 2021,D Murphy,Mare,-,-,-
0075572,Rio Pomba (IRE),13th July 2021,D Carroll,Filly,-,-,-
0075683,Valentinobello (FR),13th July 2021,D Rabhi,Gelding,-,-,-
0075696,Golondrina,13th July 2021,T J FitzGerald,Filly,-,-,-
0075682,Eileens Choice (IRE),13th July 2021,C Byrnes,Filly,-,-,-
0075570,Miss Scarlet,13th July 2021,K A Ryan,Filly,-,-,-
0075678,Doneaney Boy (IRE),13th July 2021,S Fahey,Gelding,-,-,-
0075587,Right Perk (IRE),13th July 2021,C T Pogson,Gelding,-,-,-
0075674,Indian Ocean (IRE),13th July 2021,B Rothwell,Gelding,-,-,-
0075670,Scandal Sheet (IRE),13th July 2021,J S Bolger,Filly,-,-,-
0075693,Fantastic Fred (IRE),13th July 2021,J A Osborne,Gelding,-,-,-
0075585,Morning Sir Alan,13th July 2021,S A Callaghan,Colt,-,-,-
0075697,Willridge,13th July 2021,J M Bradley,Gelding,-,-,-
0075602,Maire Bhridin (IRE),13th July 2021,Michael P Hourigan,Mare,-,-,-
0075685,Aristote,16th March 2006,E Bernhardt,Colt,Domedriver,Abime,E Bernhardt
0075689,Burdlaz (IRE),13th July 2021,S Seemar,Gelding,-,-,-
0075600,Ballyquinn (IRE),13th July 2021,Mrs J Harrington,Mare,-,-,-
0075575,Bid To Dance,13th July 2021,K A Morgan,Filly,-,-,-
0075673,Broad Meaning,13th July 2021,J McAuley,Gelding,-,-,-
0075615,Athania (IRE),13th July 2021,A P Jarvis,Filly,-,-,-
